"","Catergory Code","Freq"
"1","A",140
"2","B",453
"3","C",3749
"4","D",871
"5","E",10164
"6","F",1689
"7","G",9009
"8","H",3780
"9","I",6295
"10","J",5677
"11","K",2317
"12","L",3682
"13","M",1400
"14","N",271
"15","O",4050
"16","P",6718
"17","Q",6381
"18","R",17113
"19","S",910
"20","T",4971
"21","U",299
"22","V",3368
"23","Z",473
