"","Catergory Code","Freq"
"1","A",46
"2","B",172
"3","C",1272
"4","D",325
"5","E",3042
"6","F",594
"7","G",2668
"8","H",1384
"9","I",2139
"10","J",2401
"11","K",1036
"12","L",1211
"13","M",469
"14","N",91
"15","O",1595
"16","P",2015
"17","Q",2141
"18","R",5749
"19","S",316
"20","T",1719
"21","U",97
"22","V",1199
"23","Z",159
